55;21;15;71;24;15;50;31;82;82;41;65;81
68;80;35;85;18;50;80;91;39;48;87;39;63
24;42;66;12;78;45;100;77;94;16;11;79;23
31;23;27;84;57;90;31;60;19;30;40;34;54
34;16;37;29;68;93;41;89;93;58;18;43;65
63;73;28;49;97;70;23;40;44;49;34;26;50
25;40;20;24;25;28;30;68;41;13;15;60;97
81;93;50;57;70;16;56;63;58;47;79;24;55
35;56;66;33;11;79;95;24;67;25;13;90;25
26;52;63;10;78;46;70;94;84;87;95;62;39
45;75;15;51;28;58;79;55;57;24;40;63;19
55;35;19;72;66;27;58;84;87;34;49;72;35
81;88;55;13;81;95;67;95;54;49;63;78;31
