81;-33;-36;-19;41;92;89;-57;89;-21;62;77;51
53;49;-12;9;98;64;42;-78;71;67;-42;-88;-17
35;43;83;-77;60;-98;-33;-75;41;27;-18;-47;-63
61;26;-66;46;17;-100;13;17;52;-44;-84;-68;13
-5;-42;-90;-98;-8;92;-57;7;9;13;81;79;-12
91;-48;83;-17;69;-79;-92;-92;28;99;-45;-44;-76
-78;-75;-2;-78;-65;-52;-66;82;33;-100;69;-68;-39
50;-85;64;-94;-39;-41;-75;-78;28;-73;86;-30;42
-89;98;-66;-31;73;-73;77;45;71;-76;-67;58;-89
-47;-21;-75;-36;-41;8;-29;-62;-2;8;49;-74;-73
41;-81;-29;-69;60;43;20;-25;85;11;-61;-29;24
-59;83;-68;10;-82;19;79;46;34;44;54;-72;16
14;-45;42;11;-64;-86;-12;13;-64;18;23;-66;44
