51;12;15;48;45;100;99;39;18;1;;;;;;
57;43;97;51;92;10;93;32;19;58;;;;;;
52;16;31;16;78;88;90;72;37;11;;;;;;
10;57;64;25;96;50;81;2;91;2;;;;;;
99;2;3;7;40;76;33;34;5;2;;;;;;
35;19;71;77;64;8;62;100;10;2;;;;;;
100;57;27;26;51;33;100;100;7;85;;;;;;
11;12;49;46;37;69;80;31;3;39;;;;;;
22;71;75;11;11;43;39;16;64;50;;;;;;
40;2;87;4;100;1;44;13;40;33;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
